geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state,rn
2309,-23.4772621393329,-46.6043012807432,sao paulo,SP,1
2310,-23.4660409941716,-46.5972314089676,sao paulo,SP,1
2311,-23.4698890022217,-46.6030576414103,sao paulo,SP,1
2312,-23.4657469560263,-46.5985826011687,sao paulo,SP,1
1150,-23.5321493047492,-46.663331793785,sao paulo,SP,1
1151,-23.530158607825,-46.657632122396,sao paulo,SP,1
1152,-23.5311352070517,-46.6545629490738,são paulo,SP,1
1153,-23.5303157987766,-46.6532871289169,sao paulo,SP,1
1154,-23.5306809431012,-46.6601003222344,sao paulo,SP,1
1155,-23.528192437417,-46.6637798978591,são paulo,SP,1
1156,-23.531697,-46.66290525,sao paulo,SP,1
1189,-23.5321082550638,-46.6383947010791,sao paulo,SP,1
1200,-23.5315677732414,-46.6498690778464,sao paulo,SP,1
1201,-23.5357543447112,-46.6530053572047,sao paulo,SP,1
1202,-23.5319078243118,-46.6496095706331,sao paulo,SP,1
1203,-23.5301091756881,-46.6497444549022,são paulo,SP,1
1204,-23.5318187149576,-46.6471401289169,sao paulo,SP,1
1205,-23.5318314965375,-46.645856181805,são paulo,SP,1
1206,-23.5400385545329,-46.6396482526978,sao paulo,SP,1
1251,-23.5480608548387,-46.6739798669282,sao paulo,SP,1
1252,-23.540428110191,-46.6808673615038,sao paulo,SP,1
1253,-23.5459944893242,-46.6784489912574,sao paulo,SP,1
1254,-23.5459007391078,-46.6805813058457,sao paulo,SP,1
1255,-23.5453554379653,-46.6821884131225,sao paulo,SP,1
1256,-23.5488599053609,-46.6821003250043,sao paulo,SP,1
1257,-23.5472912896678,-46.6859776082797,sao paulo,SP,1
1258,-23.5449931013042,-46.685597180824,sao paulo,SP,1
1259,-23.5401080021438,-46.6887411121957,sao paulo,SP,1
1262,-23.5508563914627,-46.6773518489254,sao paulo,SP,1
1290,-23.540961341393,-46.6577487027526,são paulo,SP,1
1301,-23.5482581933837,-46.6498246632398,sao paulo,SP,1
1302,-23.547495929771,-46.6443560589763,são paulo,SP,1
1303,-23.5487711626464,-46.6474427288361,sao paulo,SP,1
1304,-23.5511007590736,-46.649641961159,sao paulo,SP,1
1305,-23.5537342173235,-46.6555324036875,sao paulo,SP,1
1306,-23.5538227091292,-46.6503811347452,são paulo,SP,1
1419,-23.5641059789082,-46.6554020394137,sao paulo,SP,1
1420,-23.5605493338911,-46.6614094031392,sao paulo,SP,1
1421,-23.5659407021757,-46.6571135235733,sao paulo,SP,1
1422,-23.5612846733222,-46.6642925785389,são paulo,SP,1
1423,-23.5696987826765,-46.656092352617,sao paulo,SP,1
1424,-23.5669822173235,-46.662491147383,sao paulo,SP,1
1534,-23.5677437396561,-46.6262186636273,sao paulo,SP,1
1535,-23.5705181071326,-46.6250792894858,são paulo,SP,1
1536,-23.5670901443245,-46.6231437871199,sao paulo,SP,1
1537,-23.579731854569,-46.6242483533391,sao paulo,SP,1
1538,-23.5806401573951,-46.6247169738525,sao paulo,SP,1
1539,-23.5681529933349,-46.6196526350337,sao paulo,SP,1
1540,-23.5658190591205,-46.6193059154885,sao paulo,SP,1
1541,-23.5687222980841,-46.6188009239712,são paulo,SP,1
1542,-23.5716831612614,-46.6234943258411,são paulo,SP,1
1543,-23.5759728825957,-46.6189067776848,sao paulo,SP,1
1544,-23.5789568844493,-46.6180313486938,sao paulo,SP,1
1545,-23.5813730610538,-46.6178758329102,sao paulo,SP,1
1546,-23.5782869427806,-46.6226375212449,sao paulo,SP,1
1547,-23.5838095037509,-46.6199000779907,sao paulo,SP,1
1548,-23.5749129672514,-46.6140079483813,sao paulo,SP,1
1549,-23.5782521143459,-46.6168624417162,sao paulo,SP,1
2256,-23.4757276368663,-46.5871548317384,sao paulo,SP,1
2257,-23.473503,-46.580076,sao paulo,SP,1
2258,-23.4741910546771,-46.5767754307519,sao paulo,SP,1
2259,-23.4716079708581,-46.580389438802,são paulo,SP,1
2260,-23.4696270591205,-46.5834958061342,sao paulo,SP,1
2261,-23.4679615864507,-46.5778580922926,sao paulo,SP,1
2262,-23.4666860502337,-46.5758771071326,sao paulo,SP,1
2263,-23.46231938758,-46.5721173203073,sao paulo,SP,1
2264,-23.4622016400254,-46.5762048995325,sao paulo,SP,1
2265,-23.4765194351953,-46.5955496770731,são paulo,SP,1
2266,-23.480764671112,-46.6007949349042,sao paulo,SP,1
2267,-23.4804813105776,-46.6023886872007,sao paulo,SP,1
2268,-23.4686427485429,-46.5933592296728,sao paulo,SP,1
2269,-23.4696698695539,-46.5958569919499,sao paulo,SP,1
2270,-23.4745702178718,-46.5914297098217,são paulo,SP,1
2271,-23.4673111887299,-46.590622973628,sao paulo,SP,1
2272,-23.4698631545963,-46.5878530525996,sao paulo,SP,1
2273,-23.4671077507646,-46.5877704132668,sao paulo,SP,1
2274,-23.467537488199,-46.5868246480754,sao paulo,SP,1
2275,-23.465074724305,-46.5884883362346,são paulo,SP,1
2276,-23.4621919806675,-46.5827382321907,sao paulo,SP,1
2277,-23.4627497915633,-46.5820018009983,sao paulo,SP,1
2278,-23.4633660777022,-46.5821040693923,sao paulo,SP,1
2279,-23.4612050960509,-46.5721823267921,sao paulo,SP,1
2280,-23.4580556158751,-46.576173022621,sao paulo,SP,1
2281,-23.4504799120569,-46.5720446916807,sao paulo,SP,1
2282,-23.4433035,-46.56802725,sao paulo,SP,1
2284,-23.4697031964118,-46.5686827208355,sao paulo,SP,1
2286,-23.4085867749148,-46.579603243407,sao paulo,SP,1
2288,-23.4323861249243,-46.5711603755778,sao paulo,SP,1
2289,-23.4169503949449,-46.583744123781,são paulo,SP,1
2290,-23.5432948422502,-46.6307431914936,sao paulo,SP,1
2301,-23.4877945284494,-46.6151015327486,sao paulo,SP,1
2302,-23.4863209541735,-46.6151878075288,sao paulo,SP,1
2421,-23.4731593544347,-46.6315655656414,sao paulo,SP,1
2422,-23.4722954809856,-46.638846597005,sao paulo,SP,1
2423,-23.4690797372857,-46.630640750693,sao paulo,SP,1
2430,-23.4826593846731,-46.6466046500087,sao paulo,SP,1
2431,-23.4850959852848,-46.6369204926424,sao paulo,SP,1
2432,-23.4846475037509,-46.6345708637255,sao paulo,SP,1
2433,-23.4822991326678,-46.6353905553696,sao paulo,SP,1
1124,-23.5278216880374,-46.6346711734664,são paulo,SP,1
1125,-23.5298045795199,-46.638681715246,sao paulo,SP,1
1126,-23.5270527593629,-46.6407520299786,sao paulo,SP,1
1127,-23.526123757978,-46.639145865803,sao paulo,SP,1
1128,-23.5253507010791,-46.6400641691673,sao paulo,SP,1
1129,-23.524372634197,-46.6474321362745,sao paulo,SP,1
1130,-23.5232712917075,-46.6479822470137,sao paulo,SP,1
1131,-23.5208351934618,-46.6455694772347,sao paulo,SP,1
1132,-23.523059158203,-46.647298718016,sao paulo,SP,1
1133,-23.5225911057476,-46.6510490147152,sao paulo,SP,1
1134,-23.5186768070774,-46.6531159131789,sao paulo,SP,1
1135,-23.5269082450804,-46.6508942391078,sao paulo,SP,1
1136,-23.5229446100467,-46.6632923988401,sao paulo,SP,1
1137,-23.5231447668406,-46.6516600960306,sao paulo,SP,1
1138,-23.5250366960875,-46.6554199345028,são paulo,SP,1
1139,-23.5188925129262,-46.6764603573489,são paulo,SP,1
1140,-23.5256486128167,-46.6618078760748,sao paulo,SP,1
1141,-23.5224553929685,-46.671137284743,são paulo,SP,1
1142,-23.5199343051526,-46.6251300217966,são paulo,SP,1
1144,-23.5238456272434,-46.6735307113509,sao paulo,SP,1
1230,-23.5375440138785,-46.6589813155693,sao paulo,SP,1
1231,-23.5373885933983,-46.6598415448094,sao paulo,SP,1
1232,-23.5344715459346,-46.6598839139592,sao paulo,SP,1
1233,-23.5350454293669,-46.6614448118184,sao paulo,SP,1
1234,-23.5385895437129,-46.6640328912227,sao paulo,SP,1
1235,-23.5387988273703,-46.6670896136534,sao paulo,SP,1
1318,-23.5540986812678,-46.6386066059202,sao paulo,SP,1
1319,-23.5522466827573,-46.6383398052975,são paulo,SP,1
1320,-23.5578884671072,-46.6395537732414,são paulo,SP,1
1321,-23.5591401062958,-46.6403744182584,sao paulo,SP,1
1322,-23.5619137604881,-46.6436583331987,sao paulo,SP,1
1323,-23.5725195006437,-46.6419638005579,sao paulo,SP,1
1324,-23.552250317791,-46.6432916493162,são paulo,SP,1
1325,-23.5570613119175,-46.6445309351005,sao paulo,SP,1
1326,-23.5543699592013,-46.6458712851866,são paulo,SP,1
1327,-23.5653632966992,-46.6451022253736,sao paulo,SP,1
1425,-23.5739852756073,-46.6571110963125,sao paulo,SP,1
1426,-23.568276436032,-46.6631828376421,sao paulo,SP,1
1427,-23.5727219233943,-46.6619434787639,sao paulo,SP,1
1428,-23.5764614701656,-46.6593314927866,sao paulo,SP,1
1429,-23.5748240996307,-46.663511999019,são paulo,SP,1
1430,-23.572441015049,-46.6685271435304,sao paulo,SP,1
1431,-23.5760447144093,-46.6650927341162,sao paulo,SP,1
1432,-23.5753960341336,-46.66701360116,são paulo,SP,1
1433,-23.5727338354204,-46.6638057506204,sao paulo,SP,1
1434,-23.5707411160194,-46.6758935512147,são paulo,SP,1
1435,-23.5788599131225,-46.6692698813549,sao paulo,SP,1
1436,-23.5720491962317,-46.6667359211726,sao paulo,SP,1
1437,-23.5724047327312,-46.672792752438,sao paulo,SP,1
1438,-23.5674191945583,-46.6699816830457,sao paulo,SP,1
1439,-23.5662832672688,-46.6734036941542,sao paulo,SP,1
1440,-23.5714225079058,-46.6799743338911,sao paulo,SP,1
1441,-23.5648410760574,-46.6761589376768,são paulo,SP,1
1442,-23.5637022674005,-46.6752908569828,sao paulo,SP,1
1443,-23.5675086500087,-46.6847180579954,sao paulo,SP,1
1444,-23.5696253572047,-46.6843958798257,sao paulo,SP,1
1445,-23.5688807521358,-46.688742486773,sao paulo,SP,1
1446,-23.5760134710023,-46.6740703236194,sao paulo,SP,1
1447,-23.5746558440187,-46.6783153483179,sao paulo,SP,1
1448,-23.5809788937042,-46.6827948599746,sao paulo,SP,1
1449,-23.5792824102084,-46.6827655176294,sao paulo,SP,1
1450,-23.5780625065209,-46.685975097005,sao paulo,SP,1
1451,-23.5835667762998,-46.6829286283686,sao paulo,SP,1
2114,-23.5222869217648,-46.5913564361766,sao paulo,SP,1
2115,-23.52744878607,-46.5902208611421,sao paulo,SP,1
2116,-23.5190649811299,-46.5846097739339,sao paulo,SP,1
2117,-23.5180704220399,-46.5939303027223,sao paulo,SP,1
2118,-23.5139138718718,-46.5919177057769,sao paulo,SP,1
2119,-23.509993429463,-46.5900886551628,sao paulo,SP,1
2120,-23.5104166291078,-46.5942177473594,sao paulo,SP,1
2121,-23.5097988681689,-46.5923267493796,são paulo,SP,1
2122,-23.5115294876507,-46.5875991669456,sao paulo,SP,1
2123,-23.5122862106584,-46.5795898374978,sao paulo,SP,1
2124,-23.5059658312654,-46.5786236791506,sao paulo,SP,1
2125,-23.5101766378037,-46.5874222996134,sao paulo,SP,1
2126,-23.5056086930291,-46.5940829707139,sao paulo,SP,1
2127,-23.501750123781,-46.5868312600554,sao paulo,SP,1
2128,-23.5058116486237,-46.5954460932541,sao paulo,SP,1
2129,-23.5038949206244,-46.5904210649489,sao paulo,SP,1
2130,-23.5087688849594,-46.5821581741197,sao paulo,SP,1
2131,-23.5032074526805,-46.5827047543713,sao paulo,SP,1
2132,-23.5034693746898,-46.5772686602805,sao paulo,SP,1
2133,-23.5023274962491,-46.5849135,sao paulo,SP,1
2134,-23.499802453987,-46.5762953831315,sao paulo,SP,1
2135,-23.499671804605,-46.5900631290611,sao paulo,SP,1
2136,-23.4977491260027,-46.5833468967626,sao paulo,SP,1
2137,-23.4980873016908,-46.5757554081309,sao paulo,SP,1
2138,-23.4956389555947,-46.5741902411853,sao paulo,SP,1
2139,-23.4928869402484,-46.5727484714057,sao paulo,SP,1
2141,-23.4875575109643,-46.5706120809049,sao paulo,SP,1
2142,-23.5111800699406,-46.5772152886491,sao paulo,SP,1
2143,-23.5079922989209,-46.5752170691039,sao paulo,SP,1
2443,-23.4709793433262,-46.6479219286745,são paulo,SP,1
2450,-23.5002676269836,-46.640670669023,sao paulo,SP,1
2451,-23.499238829592,-46.6429580558023,sao paulo,SP,1
1037,-23.543883072999,-46.6380749342144,são paulo,SP,1
1038,-23.5447404729356,-46.6411292282878,sao paulo,SP,1
1039,-23.5417538351319,-46.6397607407813,sao paulo,SP,1
1040,-23.5401117063593,-46.6370168104334,sao paulo,SP,1
1041,-23.5435394490738,-46.6405773105776,sao paulo,SP,1
1042,-23.543774559813,-46.6417721261469,sao paulo,SP,1
1043,-23.5447346364187,-46.6425234904207,são paulo,SP,1
1044,-23.5456269991633,-46.6414098846731,sao paulo,SP,1
1045,-23.5427539772347,-46.6414820260835,sao paulo,SP,1
1046,-23.5456066403138,-46.6443244865256,sao paulo,SP,1
1047,-23.5462731124127,-46.6412251697155,sao paulo,SP,1
1048,-23.5471881160194,-46.6395883905015,sao paulo,SP,1
1049,-23.5477923105776,-46.6405883119626,sao paulo,SP,1
1050,-23.5498541806798,-46.6431393969068,sao paulo,SP,1
1101,-23.533718588348,-46.6332783627827,sao paulo,SP,1
1102,-23.5317648193202,-46.6321551397369,sao paulo,SP,1
1103,-23.5354533943966,-46.6317062915633,sao paulo,SP,1
1104,-23.5345046966357,-46.6326470378845,sao paulo,SP,1
1105,-23.533744232587,-46.6306348627446,sao paulo,SP,1
1106,-23.5324963560795,-46.6264056638871,sao paulo,SP,1
1107,-23.528933486814,-46.6271738701022,são paulo,SP,1
1108,-23.5313641779098,-46.6264578558197,sao paulo,SP,1
1109,-23.5218721326678,-46.6289123680247,sao paulo,SP,1
1120,-23.5313350927058,-46.6388982546598,sao paulo,SP,1
1121,-23.525130509031,-46.6322699228461,sao paulo,SP,1
1122,-23.5311917421663,-46.6376383914825,sao paulo,SP,1
1123,-23.5289165654715,-46.6380143412082,sao paulo,SP,1
1307,-23.5515253724681,-46.6528483076634,sao paulo,SP,1
1308,-23.557144672774,-46.6548096473829,sao paulo,SP,1
1309,-23.5573236885857,-46.6569289072942,sao paulo,SP,1
1310,-23.5672311592995,-46.6494222635179,sao paulo,SP,1
1328,-23.5555276383519,-46.6469743724681,sao paulo,SP,1
1329,-23.5622806552888,-46.6477532596514,sao paulo,SP,1
1330,-23.5609305401062,-46.6495523690057,são paulo,SP,1
1331,-23.5598339861215,-46.6505217717122,sao paulo,SP,1
1332,-23.5586682295286,-46.6514369264528,sao paulo,SP,1
1333,-23.5659804940274,-46.6460185079058,sao paulo,SP,1
1401,-23.5697475719772,-46.6510035719772,sao paulo,SP,1
1402,-23.567787,-46.64909925,são paulo,SP,1
1403,-23.574695269779,-46.6593437046858,sao paulo,SP,1
1452,-23.5708104445145,-46.6907750110655,sao paulo,SP,1
1453,-23.5851951273876,-46.6870838937042,sao paulo,SP,1
1454,-23.5825992295285,-46.6873470940908,sao paulo,SP,1
1455,-23.5831029039759,-46.6897669463038,sao paulo,SP,1
1456,-23.5758263788448,-46.6914348383345,são paulo,SP,1
1457,-23.5790345589763,-46.6908076784581,sao paulo,SP,1
1472,-23.5705436924808,-46.691296679439,são paulo,SP,1
1489,-23.5766499888915,-46.6874000477522,são paulo,SP,1
1501,-23.5515771618097,-46.6353809567198,sao paulo,SP,1
1502,-23.5546735053104,-46.6355202526552,são paulo,SP,1
1503,-23.5554882408279,-46.6355992384735,sao paulo,SP,1
1504,-23.5621847463212,-46.6387906840267,sao paulo,SP,1
1505,-23.5553366056033,-46.631413121011,sao paulo,SP,1
2210,-23.4796694141035,-46.5834112070517,sao paulo,SP,1
2211,-23.496458364418,-46.5938482055225,sao paulo,SP,1
2212,-23.4951283863466,-46.589136244792,sao paulo,SP,1
2213,-23.4990009328294,-46.5908484862658,sao paulo,SP,1
2214,-23.4936368695539,-46.5857701815165,são paulo,SP,1
2215,-23.4900819431012,-46.5846622384153,sao paulo,SP,1
2216,-23.4948074460154,-46.5807019345028,sao paulo,SP,1
